Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
1	00:00:06.00	INT_AVP	Ja, Herr Gebhard, ich sehe gerade, dass Sie hier Ihre Lebenslaufdaten äh, aufgeschrieben haben.		Familie, Krieg, Front, Politik, Diskussion				87580893#87580896#87580894		
1	00:00:12.00	INT_AVP	Das hilft uns in jedem Fall.								
1	00:00:15.00	INT_AVP	Uns geht es aber eben nicht nur um eine Bewerbung, wie man sie so normalerweise schreiben muss, sondern es geht eben um mehr, so wie man [kurze Pause] gewohnt, gelebt, gearbeitet hat, wie die Arbeitsbedingungen waren, wie die Wohnbedingungen waren, das Verhältnis mit Ihren Geschwistern, falls Sie welche hatten oder mit Ihren Eltern.								
1	00:00:35.00	INT_AVP	Also um Ihre gesamten Erfahrungen, denn wir sind äh, ja nicht jemand, der jetzt im Sinne einer Bewerbung Sie fragt, sondern wir wollen die Erfahrungen von Leuten aus dem Ruhrgebiet kennenlernen.								
1	00:00:51.00	INT_AVP	Denn bisher gab es ja nur eine Geschichtsschreibung, die sich darum kümmerte, was haben die Parteien, die Gewerkschaften, die Kirchen, Verbände usw. gesagt und gemacht und wie ist denn die große Politik gemacht worden.								
1	00:01:08.00	INT_AVP	Sondern wir wollen Beides, wir wollen wissen, wie die Menschen gedacht haben, wie sie aufgewachsen sind, gelebt haben und auch wie sie denn mit so wichtigen Zeiten wie sagen wir mal dem Nationalsozialismus oder der Nachkriegszeit, wie sie darin gelebt haben, wie sie darin gedacht haben.								
1	00:01:26.00	INT_AVP	Also insofern äh, sind solche Daten zwar sehr hilfreich, aber es geht eben um ihre persönlichen Erfahrungen, Erlebnisse usw.								
1	00:01:38.00	INT_AVP	Und deshalb würde ich Sie am Anfang gern fragen, was Sie so für das Wichtigste, für Sie Wichtiges aus Ihrem Leben berichten wollen?								
1	00:01:49.00	IP_HG	Ja, wenn ich mich also zurückerinnere als im Moment zehn-, elfjährig, da wurde ich also das erste Mal meiner Familie entrissen.								
1	00:02:01.00	IP_HG	Damals zu der Zeit 1942.								
1	00:02:06.00	IP_HG	Ich hab damals die Mittelschule besucht.								
1	00:02:10.00	IP_HG	Na ja und als die Luftangriffe hier immer bedrohlicher wurden, wurde ja damals die Kinderlandverschickung geprägt, wo also ganze Schulen in gewisse Gebiete verlagert wurden.								
1	00:02:23.00	IP_HG	Ich bin damals in der Tschechoslowakei gewesen.								
1	00:02:28.00	IP_HG	Als einziges Kind zuhause war es also für uns doch sehr gravierend, dass man dem Elternhaus entrissen wurde.								
1	00:02:35.00	IP_HG	Ausschlaggebend war auch da, dass ich von meinem Elternhaus sehr sozialdemokratisch geprägt gewesen bin.								
1	00:02:44.00	IP_HG	Mein Vater war also keiner, der sich weder noch aktiv oder passiv für dieses damalige Regime interessiert hat, war es also für mich doch schon der erste große gravierende Weg im Leben, dass ich also Dinge machen musste, die nicht freiwillig waren, sondern dass ein gewisser Zwang dahinter war.								
1	00:03:05.00	IP_HG	Ja, und dann natürlich diese Erziehung während dieser Zeit der Kinderlandverschickung, dass wir also da schon dem Drill der Soldaten ausgesetzt waren.								
1	00:03:16.00	IP_HG	Dass die Bombengriffen hier, zumal im / oder überwiegend hier im Ruhrgebiet, in Essen, stattfanden.								
1	00:03:23.00	IP_HG	Dass die Korrespondenz teilweise abgerissen ist, dass ich keine Nachricht mehr von zuhause bekam.								
1	00:03:29.00	IP_HG	Dass Mitschüler von mir brieflich unterrichtet wurden, dass zum Beispiel meine Eltern hier in Essen total ausgebombt seien.								
1	00:03:37.00	IP_HG	Daraufhin habe ich also Unfreiwillig den Ort in der Tschechoslowakei bei Nacht und Nebel verlassen.								
1	00:03:47.00	IP_HG	Bin dann mit einem älteren Mitschüler bei Nacht und Nebel flüchten gegangen.								
1	00:03:54.00	IP_HG	Nach fünf Tagen und sechs Nächten hat man uns dann von der Gendarmerie erwischt, die haben uns dann wieder ins Lager zurückgebracht.								
1	00:04:05.00	IP_HG	Der ältere Kollege, der bei mir war wurde dann entlassen.								
1	00:04:10.00	IP_HG	Ich hatte das Glück, von ihrer Seite aus gesehen - von der Schulleitung her - für eine gewisse Zeit, ungefähr vier Wochen, im Keller eingesperrt zu werden.								
1	00:04:22.00	IP_HG	Mir wäre es also damals auch lieber gewesen wenn man gesagt hätte, dir droht auch die fristlose Entlassung, dass ich zumindest wieder zu meinen Eltern nach Hause gekommen wäre.		Schule, Ausbildung, Lehre, Arbeit, Repression				87580903#87580913#87580926		
1	00:04:31.00	IP_HG	Nun, dann hat sich das ein bisschen gelöst, sodass wir 1943 in den großen Ferien in nicht-luftgefährdete Gebiete in den Urlaub fahren konnten.								
1	00:04:43.00	IP_HG	Einige Verwandte von uns waren also evakuiert in Oberschlesien, (Globau, Kreis Herrnstadt ? #00:04:49#), kann ich mich noch genau entsinnen.								
1	00:04:52.00	IP_HG	Den Ort habe ich dann auch als meinen Ferienort angegeben.								
1	00:04:57.00	IP_HG	Es bestand damals noch die Möglichkeit, dass ein Elternteil, entweder Vater oder Mutter, uns dort oben besuchen konnte.								
1	00:05:05.00	IP_HG	Und wir haben dann also die Fahrkarten gelöst, für meine Mutter und für mich und sind dann also nach Schlesien gefahren.								
1	00:05:12.00	IP_HG	Dort habe ich dann meinen Eltern erklärt, dass ich also nicht mehr gewillt sei in die Kinderlandverschickung zurückzufahren.								
1	00:05:20.00	IP_HG	Wir haben uns dann eine Zeit lang in Oberschlesien aufgehalten und sind dann gemeinsam - Vater, Mutter und ich - wieder nach Essen zurückgefahren.								
1	00:05:29.00	IP_HG	Und dann bestanden also für meine Eltern sehr große Schwierigkeiten, dass ich also in Essen bleiben konnte.								
1	00:05:36.00	IP_HG	Zumal also die Schulleitung - damals das Regime - Wert darauf gelegt hat, dass ich also wieder an den Ausgangsort zurückkommen sollte.								
1	00:05:45.00	IP_HG	Parteipolitisch hatte mein Vater dadurch keine großen Schwierigkeiten, weil er hier gebraucht wurde als Bergmann.								
1	00:05:51.00	IP_HG	Als Meisterhauer.								
1	00:05:54.00	IP_HG	Die waren damals gefragt, ich kann mich entsinnen, wenn ich zu den Wochenenden gefragt habe 'Wo ist Vater?', dann war also gleichlautend immer die Information:								
1	00:06:04.00	IP_HG	Vater muss noch arbeiten, der muss noch eine Stalingrad-Schicht machen, der muss noch eine Moskau-Schicht machen', sodass also das Familienleben doch sehr zerrissen war und dass man also erst nach der Kapitulation, also der demokratische Aufbau hier begann, erst gemerkt hat, was eigentlich ein Familienleben heißt.								
1	00:06:24.00	IP_HG	(kurze Pause) Ja, dann nach Absolvierung der Schule, in 1946, hatte ich also keine Möglichkeit die Mittelschule weiter zu besuchen, weil der Schulbetrieb hier noch nicht so weit vorangeschritten war, hatte ich dann die Möglichkeit drei Monate zur Volksschule zu gehen und dort ein vorschriftmäßiges Entlassungszeugnis zu bekommen.								
1	00:06:45.00	IP_HG	Gravierend dabei ist auch noch zu bemerken, dass ich damals zwar aus dem achten Schuljahr der Volksschule entlassen wurde.								
1	00:06:53.00	IP_HG	Normalerweise, zeitlich war das ja gar nicht möglich, weil der Unterrichtsausfall ja zu groß war.								
1	00:06:59.00	IP_HG	Wir - noch zwei Kollegen von mir - wurden also nach den drei Monaten Volksschulbesuch aus dem achten Schuljahr entlassen, aber mit dem Hinweis, dass die Prädikate eben herabgesetzt wurden.								
1	00:07:11.00	IP_HG	Das heißt, wenn mein Vater nach Rücksprache mit dem Rektor zugestimmt hätte, dass ich aus dem siebten Schuljahr entlassen werden soll, dann wären die Prädikate also besser ausgefallen.								
1	00:07:21.00	IP_HG	Nun ja, mein Vater hat sich gedacht, bei der Suche einer passenden Lehrstelle wird es vielleicht ausschlaggebend sein, dass also festgeschrieben ist aus dem achten Schuljahr entlassen zu werden.								
1	00:07:32.00	IP_HG	Nun, damals also auch große Schwierigkeiten hier die passenden Lehrstellen zu finden, wie wir es jetzt, zur jetzigen Zeit, zumindest im vergangenen Jahr, auch noch hatten, bin ich dann als jugendlicher Arbeiter bei der Stadt Essen im Tiefbauamt beschäftigt gewesen.								
1	00:07:47.00	IP_HG	Mit dem Hinweis, wenn also dort kaufmännische Auszubildende eingestellt werden, ich durch meine Tätigkeit als jugendlicher Arbeiter vielleicht bevorzugt würde.								
1	00:07:57.00	IP_HG	Das hat sich also auch nicht eingestellt, sodass ich also 1947 meine Tätigkeit dort abgebrochen habe und bin im Mai 47‘ dann als Klempner/ Installateur in die Lehre einer Essener Firma eingetreten.								
1	00:08:16.00	INT_AVP	Machen wir kurz Stopp?								
1	00:08:17.00	IP_HG	Oh, ist nicht nötig.								
1	00:08:18.00	INT_AVP	Ne?		Ausbildung, Lehre, Politik, Diskussion, Geld				87580913#87580894#87580901		
1	00:08:20.00	IP_HG	Ja, dann habe ich also meine Lehre abgeschlossen.								
1	00:08:23.00	INT_AVP	Das habe ich, Entschuldigung, das hab ich da jetzt nicht verstanden.								
1	00:08:25.00	INT_AVP	Die Tätigkeit hatten sie abgebrochen und dann?								
1	00:08:27.00	IP_HG	Die habe ich abgebrochen und bin dann in die Lehre als Klempner und Installateur gegangen und hab 1950 im Oktober mit Erfolg meine Prüfung dort abgelegt.								
1	00:08:39.00	IP_HG	Dann kamen also wieder große Schwierigkeiten mit der Weiterbeschäftigung.								
1	00:08:43.00	IP_HG	In 1947 hat man also diesen Industriezweig als besonders hervorgehoben, nämlich weil zu wenig Auszubildende sich dafür interessiert haben.								
1	00:08:54.00	IP_HG	Das hat sich also schnell gewandelt, sodass ich 1950 im November erwerbslos wurde.								
1	00:09:01.00	IP_HG	Da kam also für unsere Familie wieder zwei Tiefschläge: Ich wurde erwerbslos.								
1	00:09:09.00	IP_HG	Mein Vater mit 42 Jahren von einer Silikose befallen aufgrund seiner beruflichen Tätigkeit.								
1	00:09:17.00	IP_HG	Damals 42 Jahre alt.								
1	00:09:20.00	IP_HG	Stand also an, ob Vater Rentner werden sollte oder nicht.								
1	00:09:23.00	IP_HG	Von mir aus kein Einkommen.								
